participant_id,original_row,original_col,group,model,criterion,value,model_label
2,2,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
3,3,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
4,4,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
6,6,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
9,9,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
12,12,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0,OSS
14,14,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0,OSS
1,1,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0,OSS
2,2,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
3,3,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
5,5,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
8,8,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0,OSS
9,9,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
12,12,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0,OSS
